country,country_iso3,year,type,patch_id,station_count,capacity_gw
Botswana,BWA,2040,solar,R04C07,1507,20.836627
Botswana,BWA,2040,wind,R04C07,1024,9.485061
Botswana,BWA,2050,solar,R04C07,1609,29.815919
Botswana,BWA,2050,wind,R04C07,1024,13.060819
Brazil,BRA,2030,solar,R03C04,328,3.885634
Brazil,BRA,2030,solar,R03C05,232,2.171422
Brazil,BRA,2030,solar,R04C04,364,3.133317
Brazil,BRA,2030,solar,R04C05,18886,179.68733
Brazil,BRA,2030,solar,R05C05,506,4.730565
Brazil,BRA,2030,wind,R03C04,239,6.543936
Brazil,BRA,2030,wind,R03C05,64,0.445534
Brazil,BRA,2030,wind,R04C04,550,10.276127
Brazil,BRA,2030,wind,R04C05,18964,265.738953
Brazil,BRA,2030,wind,R05C05,428,5.142181
Brazil,BRA,2040,solar,R03C04,328,4.357486
Brazil,BRA,2040,solar,R03C05,232,2.284787
Brazil,BRA,2040,solar,R04C04,364,3.520884
Brazil,BRA,2040,solar,R04C05,19002,197.505987
Brazil,BRA,2040,solar,R05C05,507,5.191823
Brazil,BRA,2040,wind,R03C04,239,6.823142
Brazil,BRA,2040,wind,R03C05,64,0.472999
Brazil,BRA,2040,wind,R04C04,550,10.944091
Brazil,BRA,2040,wind,R04C05,18966,292.474945
Brazil,BRA,2040,wind,R05C05,428,5.687364
Brazil,BRA,2050,solar,R03C04,328,6.348055
Brazil,BRA,2050,solar,R03C05,232,3.156728
Brazil,BRA,2050,solar,R04C04,364,4.339948
Brazil,BRA,2050,solar,R04C05,19482,263.331876
Brazil,BRA,2050,solar,R05C05,513,6.812509
Brazil,BRA,2050,wind,R03C04,239,7.704878
Brazil,BRA,2050,wind,R03C05,64,0.542391
Brazil,BRA,2050,wind,R04C04,633,15.87796
Brazil,BRA,2050,wind,R04C05,20036,404.752389
Brazil,BRA,2050,wind,R05C05,428,7.610371
Bulgaria,BGR,2030,solar,R02C07,225,1.272808
Bulgaria,BGR,2030,wind,R02C07,745,3.040515
Bulgaria,BGR,2040,solar,R02C07,277,1.487281
Bulgaria,BGR,2040,wind,R02C07,746,3.439064
Bulgaria,BGR,2050,solar,R02C07,278,1.631144
Bulgaria,BGR,2050,wind,R02C07,746,4.504914
Burkina Faso,BFA,2030,solar,R03C06,641,7.801013
Burkina Faso,BFA,2030,solar,R03C07,136,1.774054
Burkina Faso,BFA,2030,wind,R03C06,776,13.76559
Burkina Faso,BFA,2030,wind,R03C07,77,0.78685
Burkina Faso,BFA,2040,solar,R03C06,642,8.530099
Burkina Faso,BFA,2040,solar,R03C07,136,1.955381
Burkina Faso,BFA,2040,wind,R03C06,782,15.003648
Burkina Faso,BFA,2040,wind,R03C07,77,0.86674
Burkina Faso,BFA,2050,solar,R03C06,834,12.30108
Burkina Faso,BFA,2050,solar,R03C07,136,2.634177
Burkina Faso,BFA,2050,wind,R03C06,951,20.543578
Burkina Faso,BFA,2050,wind,R03C07,77,1.134433
Burundi,BDI,2030,solar,R04C07,28,0.216086
Burundi,BDI,2030,solar,R04C08,61,1.459655
Burundi,BDI,2030,wind,R04C07,65,0.243415
Burundi,BDI,2030,wind,R04C08,94,4.400318
Burundi,BDI,2040,solar,R04C07,28,0.255271
Burundi,BDI,2040,solar,R04C08,61,1.5693
Burundi,BDI,2040,wind,R04C07,65,0.271815
Burundi,BDI,2040,wind,R04C08,94,5.129088
Burundi,BDI,2050,solar,R04C07,28,0.322266
Burundi,BDI,2050,solar,R04C08,61,1.836014
Burundi,BDI,2050,wind,R04C07,65,0.375914
Burundi,BDI,2050,wind,R04C08,94,7.160551
Cambodia,KHM,2030,solar,R03C10,724,10.135392
Cambodia,KHM,2030,wind,R03C10,758,13.526158
Cambodia,KHM,2040,solar,R03C10,725,10.846604
Cambodia,KHM,2040,wind,R03C10,758,15.157976
Cambodia,KHM,2050,solar,R03C10,726,12.252652
Cambodia,KHM,2050,wind,R03C10,855,19.421766
Cameroon,CMR,2030,solar,R03C07,554,3.404465
Cameroon,CMR,2030,wind,R03C07,632,5.747439
Cameroon,CMR,2040,solar,R03C07,555,4.079408
Cameroon,CMR,2040,wind,R03C07,632,6.481039
Cameroon,CMR,2050,solar,R03C07,640,5.305707
Cameroon,CMR,2050,wind,R03C07,658,8.81389
Canada,CAN,2030,solar,R02C02,79,0.196751
Canada,CAN,2030,solar,R02C03,3644,21.859231
Canada,CAN,2030,solar,R02C04,1631,8.34989
Canada,CAN,2030,solar,R02C05,140,1.405271
Canada,CAN,2030,wind,R02C02,205,1.263323
Canada,CAN,2030,wind,R02C03,4615,48.496097
Canada,CAN,2030,wind,R02C04,1538,12.552782
Canada,CAN,2030,wind,R02C05,63,2.116162
Canada,CAN,2040,solar,R02C02,79,0.220388
Canada,CAN,2040,solar,R02C03,3656,23.332967
Canada,CAN,2040,solar,R02C04,1633,9.02155
Canada,CAN,2040,solar,R02C05,140,1.484783
Canada,CAN,2040,wind,R02C02,205,1.453863
Canada,CAN,2040,wind,R02C03,4615,54.165671
Canada,CAN,2040,wind,R02C04,1539,14.322295
Canada,CAN,2040,wind,R02C05,64,2.329185
Canada,CAN,2050,solar,R02C02,79,0.27753
Canada,CAN,2050,solar,R02C03,3662,28.527577
Canada,CAN,2050,solar,R02C04,1633,10.862465
Canada,CAN,2050,solar,R02C05,140,2.016791
Canada,CAN,2050,wind,R02C02,205,2.063373
Canada,CAN,2050,wind,R02C03,4716,77.441391
Canada,CAN,2050,wind,R02C04,1539,19.7896
Canada,CAN,2050,wind,R02C05,64,2.966096
Central African Rep.,CAF,2030,solar,R03C07,68,0.918861
Central African Rep.,CAF,2030,wind,R03C07,15,0.261348
Central African Rep.,CAF,2040,solar,R03C07,68,0.974635
Central African Rep.,CAF,2040,wind,R03C07,15,0.310724
Central African Rep.,CAF,2050,solar,R03C07,68,0.996505
Central African Rep.,CAF,2050,wind,R03C07,41,0.455507
Chad,TCD,2030,solar,R03C07,559,9.826575
Chad,TCD,2030,wind,R03C07,684,16.265081
Chad,TCD,2040,solar,R03C07,561,11.019328
Chad,TCD,2040,wind,R03C07,684,18.542944
Chad,TCD,2050,solar,R03C07,562,13.038727
Chad,TCD,2050,wind,R03C07,718,21.323426
Chile,CHL,2030,solar,R04C04,586,6.486213
Chile,CHL,2030,solar,R05C04,428,2.879837
Chile,CHL,2030,wind,R04C04,417,2.189612
Chile,CHL,2030,wind,R05C04,697,9.395563
Chile,CHL,2040,solar,R04C04,587,7.197162
Chile,CHL,2040,solar,R05C04,428,3.14536
Chile,CHL,2040,wind,R04C04,417,2.380291
Chile,CHL,2040,wind,R05C04,697,10.458117
Chile,CHL,2050,solar,R04C04,660,10.784609
Chile,CHL,2050,solar,R05C04,429,4.250114
Chile,CHL,2050,wind,R04C04,445,4.317154
Chile,CHL,2050,wind,R05C04,697,14.4111
China,CHN,2030,solar,R02C09,3284,83.30261
China,CHN,2030,solar,R02C10,11209,247.761545
China,CHN,2030,solar,R02C11,3556,33.887374
China,CHN,2030,solar,R03C10,2629,24.223829
China,CHN,2030,solar,R03C11,96,2.025781
China,CHN,2030,wind,R02C09,2487,58.851577
China,CHN,2030,wind,R02C10,13008,253.178921
China,CHN,2030,wind,R02C11,5530,116.254411
China,CHN,2030,wind,R03C10,5258,58.258759
China,CHN,2030,wind,R03C11,275,10.086657
China,CHN,2040,solar,R02C09,3284,155.371581
China,CHN,2040,solar,R02C10,11224,358.975387
China,CHN,2040,solar,R02C11,3601,37.578939
China,CHN,2040,solar,R03C10,2638,26.672135
China,CHN,2040,solar,R03C11,96,2.046312
China,CHN,2040,wind,R02C09,2521,65.384103
China,CHN,2040,wind,R02C10,13071,280.579938
China,CHN,2040,wind,R02C11,5533,126.570403
China,CHN,2040,wind,R03C10,5346,63.324248
China,CHN,2040,wind,R03C11,275,11.443289
China,CHN,2050,solar,R02C09,3284,168.199086
China,CHN,2050,solar,R02C10,11411,407.78122
China,CHN,2050,solar,R02C11,3602,43.941675
China,CHN,2050,solar,R03C10,2729,32.999772
China,CHN,2050,solar,R03C11,97,2.58375
China,CHN,2050,wind,R02C09,2581,96.453641
China,CHN,2050,wind,R02C10,13792,378.642798
China,CHN,2050,wind,R02C11,5627,165.771299
China,CHN,2050,wind,R03C10,5811,88.797852
China,CHN,2050,wind,R03C11,275,16.3151
Colombia,COL,2030,solar,R03C04,2027,26.704811
Colombia,COL,2030,wind,R03C04,1723,16.233601
Colombia,COL,2040,solar,R03C04,2029,28.93249
Colombia,COL,2040,wind,R03C04,1724,18.256865
Colombia,COL,2050,solar,R03C04,2038,40.153977
Colombia,COL,2050,wind,R03C04,1819,24.987608
Congo,COG,2030,solar,R03C07,119,0.391974
Congo,COG,2030,solar,R04C07,487,3.902235
Congo,COG,2030,wind,R03C07,21,0.169346
Congo,COG,2030,wind,R04C07,376,3.656508
Congo,COG,2040,solar,R03C07,119,0.409247
Congo,COG,2040,solar,R04C07,488,4.290435
Congo,COG,2040,wind,R03C07,21,0.181463
Congo,COG,2040,wind,R04C07,376,3.985321
Congo,COG,2050,solar,R03C07,119,0.550505
Congo,COG,2050,solar,R04C07,489,5.616969
Congo,COG,2050,wind,R03C07,21,0.269282
Congo,COG,2050,wind,R04C07,376,5.400144
Costa Rica,CRI,2030,solar,R03C04,119,0.629605
Costa Rica,CRI,2040,solar,R03C04,119,0.656163
Costa Rica,CRI,2050,solar,R03C04,119,0.751353
Costa Rica,CRI,2050,wind,R03C04,86,0.362902
Croatia,HRV,2030,solar,R02C07,258,0.969146
