country,country_iso3,year,type,station_count,capacity_gw
Congo,COG,2050,wind,397,5.669426
Costa Rica,CRI,2030,solar,119,0.629605
Costa Rica,CRI,2040,solar,119,0.656163
Costa Rica,CRI,2050,solar,119,0.751353
Costa Rica,CRI,2050,wind,86,0.362902
Croatia,HRV,2030,solar,258,0.969146
Croatia,HRV,2030,wind,445,1.931121
Croatia,HRV,2040,solar,279,1.94313
Croatia,HRV,2040,wind,447,2.206174
Croatia,HRV,2050,solar,279,1.94313
Croatia,HRV,2050,wind,461,3.124066
Cuba,CUB,2030,solar,509,10.348731
Cuba,CUB,2030,wind,378,3.013049
Cuba,CUB,2040,solar,509,11.190595
Cuba,CUB,2040,wind,380,3.132895
Cuba,CUB,2050,solar,510,12.639717
Cuba,CUB,2050,wind,566,5.775863
Cyprus,CYP,2030,solar,11,0.222829
Cyprus,CYP,2040,solar,11,0.24926
Cyprus,CYP,2050,solar,11,0.269328
Czechia,CZE,2030,solar,249,0.990265
Czechia,CZE,2030,wind,554,2.509358
Czechia,CZE,2040,solar,305,1.588435
Czechia,CZE,2040,wind,554,2.807864
Czechia,CZE,2050,solar,306,1.762526
Czechia,CZE,2050,wind,554,4.034612
Côte d'Ivoire,CIV,2030,solar,1113,13.358625
Côte d'Ivoire,CIV,2030,wind,1240,21.91352
Côte d'Ivoire,CIV,2040,solar,1113,14.711541
Côte d'Ivoire,CIV,2040,wind,1241,22.89709
Côte d'Ivoire,CIV,2050,solar,1113,18.658335
Côte d'Ivoire,CIV,2050,wind,1406,29.793021
Dem. Rep. Congo,COD,2030,solar,2167,18.881555
Dem. Rep. Congo,COD,2030,wind,2184,34.182214
Dem. Rep. Congo,COD,2040,solar,2169,20.439485
Dem. Rep. Congo,COD,2040,wind,2184,38.413278
Dem. Rep. Congo,COD,2050,solar,2223,26.835432
Dem. Rep. Congo,COD,2050,wind,2232,53.097619
Denmark,DNK,2030,solar,175,0.845553
Denmark,DNK,2030,wind,196,1.937513
Denmark,DNK,2040,solar,175,0.917556
Denmark,DNK,2040,wind,197,2.2315
Denmark,DNK,2050,solar,175,1.069471
Denmark,DNK,2050,wind,242,4.038843
Djibouti,DJI,2030,solar,35,0.572693
Djibouti,DJI,2030,wind,15,0.096729
Djibouti,DJI,2040,solar,35,0.642382
Djibouti,DJI,2040,wind,15,0.107433
Djibouti,DJI,2050,solar,35,0.887767
Djibouti,DJI,2050,wind,92,0.345106
Dominican Rep.,DOM,2030,solar,217,3.336702
Dominican Rep.,DOM,2030,wind,226,2.455435
Dominican Rep.,DOM,2040,solar,218,3.829681
Dominican Rep.,DOM,2040,wind,226,2.532392
Dominican Rep.,DOM,2050,solar,220,5.055765
Dominican Rep.,DOM,2050,wind,226,3.642987
Ecuador,ECU,2030,solar,228,2.349964
Ecuador,ECU,2030,wind,514,3.524275
Ecuador,ECU,2040,solar,228,2.722746
Ecuador,ECU,2040,wind,515,3.824952
Ecuador,ECU,2050,solar,228,3.663094
Ecuador,ECU,2050,wind,547,5.242267
Egypt,EGY,2030,solar,1535,33.784745
Egypt,EGY,2030,wind,1186,10.055954
Egypt,EGY,2040,solar,1535,37.012493
Egypt,EGY,2040,wind,1226,13.112159
Egypt,EGY,2050,solar,1572,45.937369
Egypt,EGY,2050,wind,1357,19.072167
El Salvador,SLV,2030,solar,125,0.713673
El Salvador,SLV,2030,wind,86,0.304059
El Salvador,SLV,2040,solar,125,0.743181
El Salvador,SLV,2040,wind,86,0.32711
El Salvador,SLV,2050,solar,125,0.97833
El Salvador,SLV,2050,wind,86,0.436582
Eq. Guinea,GNQ,2030,solar,140,0.854274
Eq. Guinea,GNQ,2040,solar,140,0.989435
Eq. Guinea,GNQ,2050,solar,140,1.093318
Eritrea,ERI,2030,solar,142,3.202051
Eritrea,ERI,2030,wind,221,2.015953
Eritrea,ERI,2040,solar,142,3.40373
Eritrea,ERI,2040,wind,221,2.14862
Eritrea,ERI,2050,solar,142,4.192834
Eritrea,ERI,2050,wind,221,2.866439
Estonia,EST,2030,solar,214,0.591554
Estonia,EST,2030,wind,200,1.044569
Estonia,EST,2040,solar,214,0.625606
Estonia,EST,2040,wind,200,1.086819
Estonia,EST,2050,solar,215,0.809053
Estonia,EST,2050,wind,224,1.79147
Ethiopia,ETH,2030,solar,2456,34.947402
