country,country_en,country_iso3,patch_id,geometry_intersects,station_observed_ssp126,station_count_ssp126,capacity_gw_ssp126,station_observed_ssp245,station_count_ssp245,capacity_gw_ssp245,station_observed_ssp585,station_count_ssp585,capacity_gw_ssp585
Israel,Israel,ISR,R02C08,True,True,2311,31.864008,True,2311,31.864008,True,2311,31.864008
Israel,Israel,ISR,R03C08,True,True,84,2.429923,True,84,2.429923,False,84,2.429923
Italy,Italy,ITA,R02C07,True,True,20419,277.220403,True,20419,277.220403,True,20419,277.220403
Jamaica,Jamaica,JAM,R03C04,True,True,74,2.979304,True,74,2.979304,True,74,2.979304
Japan,Japan,JPN,R02C11,True,True,13013,264.424912,True,13013,264.424912,True,13013,264.424912
Jordan,Jordan,JOR,R02C08,True,True,4642,113.640251,True,4642,113.640251,True,4642,113.640251
Jordan,Jordan,JOR,R03C08,True,True,848,17.07628,True,848,17.07628,False,848,17.07628
Kazakhstan,Kazakhstan,KAZ,R02C08,True,True,26061,723.837908,True,26061,723.837908,True,26061,723.837908
Kazakhstan,Kazakhstan,KAZ,R02C09,True,True,85578,1773.486768,True,85578,1773.486768,True,85578,1773.486768
Kenya,Kenya,KEN,R03C08,True,True,7947,169.829979,True,7947,169.829979,True,7947,169.829979
Kenya,Kenya,KEN,R04C08,True,True,10010,154.142527,True,10010,154.142527,True,10010,154.142527
Kosovo,Kosovo,-99,R02C07,True,True,823,8.011131,True,823,8.011131,True,823,8.011131
Kuwait,Kuwait,KWT,R02C08,True,True,45,0.841627,True,45,0.841627,False,45,0.841627
Kuwait,Kuwait,KWT,R03C08,True,True,862,29.064187,True,862,29.064187,True,862,29.064187
Kyrgyzstan,Kyrgyzstan,KGZ,R02C09,True,True,3901,48.420058,True,3901,48.420058,True,3901,48.420058
Laos,Laos,LAO,R03C10,True,True,8630,137.581113,True,8630,137.581113,True,8630,137.581113
Latvia,Latvia,LVA,R02C07,True,True,7359,31.634594,True,7359,31.634594,True,7359,31.634594
Lebanon,Lebanon,LBN,R02C08,True,True,685,3.056279,True,685,3.056279,True,685,3.056279
Lesotho,Lesotho,LSO,R04C07,True,True,582,3.445507,True,582,3.445507,True,582,3.445507
Lesotho,Lesotho,LSO,R05C07,True,True,396,6.681053,True,396,6.681053,True,396,6.681053
Liberia,Liberia,LBR,R03C06,True,True,2864,33.391945,True,2864,33.391945,True,2864,33.391945
Libya,Libya,LBY,R02C07,True,True,14409,325.326529,True,14409,325.326529,True,14409,325.326529
Libya,Libya,LBY,R03C07,True,True,14175,396.533452,True,14175,396.533452,True,14175,396.533452
Lithuania,Lithuania,LTU,R02C07,True,True,5485,54.178846,True,5485,54.178846,True,5485,54.178846
Luxembourg,Luxembourg,LUX,R02C07,True,True,421,3.221552,True,421,3.221552,True,421,3.221552
Madagascar,Madagascar,MDG,R04C08,True,True,3305,65.107914,True,3305,65.107914,True,3305,65.107914
Malawi,Malawi,MWI,R04C08,True,True,5095,49.589536,True,5095,49.589536,True,5095,49.589536
